Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
"LORRI'S MARIETTA TAP, INC.",120711752,Marietta,5,2315356.63,2127333.92,188022.71,702217,514194.29,188022.71,56407.35,47006.12,9401.23
"Los 3 Potrillos, INC.",160703411,East Dundee,3,618199.31,563798.28,54401.03,263813,209411.99,54401.01,16320.77,13600.66,2720.11
"Los Burritos Lokos #3, Inc.",160701789,Midlothian,3,463368.18,427017.28,36350.9,158246,121895.09,36350.91,10905.48,9087.92,1817.56
Los Comales Nine Inc.,160704148,Burbank,3,1568064.2,1442465.39,125598.81,543942,418343.19,125598.81,37680.06,31400.05,6280.01
"LOS COMPADRES DE WAUKEGAN, INC.",120710673,Waukegan,5,5629622.46,5174355.13,455267.33,1878530,1423262.34,455267.66,136580.91,113817.44,22763.47
"Los Gringos, Inc.",120709651,Carbondale,5,3544814.89,3238700.84,306114.05,1316927,1010812.92,306114.08,91834.5,76528.77,15305.73
LOS METATES CORPORATION,150701085,Cicero,5,2125110.13,1961111.54,163998.59,688428,524429.34,163998.66,49200.21,41000.18,8200.03
"Los Portales, Inc.",130703937,Rockford,5,195286.03,177890.81,17395.22,63277,45881.47,17395.53,5218.74,4348.96,869.78
"Los Potrillos, Inc.",170703319,Charleston,3,419106.81,387036.09,32070.72,156379,124308.28,32070.72,9621.37,8017.82,1603.55
"Los Potrillos, Inc.",160702706,Normal,3,711761.28,662779.58,48981.7,258698,209716.3,48981.7,14694.86,12245.72,2449.14
Los Sauces Bar & Grill Incorporated,150703736,Decatur,5,1831265.51,1666701.59,164563.92,630903,466339.08,164563.92,49369.7,41141.46,8228.24
Los Tarascos Restaurant Inc.,160701242,Streamwood,4,1235587.4,1137491.4,98096,479640,381543.98,98096.02,29429.39,24524.48,4904.91
"LOS TRES HERMANOUS, INC.",120701375,Joliet,5,3168582.7,2896213.75,272368.95,947690,675321.7,272368.3,81711.21,68092.69,13618.52
"Lot 50 Brewing, LLC",180701137,Paris,4,7414.97,6034.86,1380.11,4030,2649.89,1380.11,414.06,345.05,69.01
"LOTTIE'S CAFE OF ILLINOIS, LLC",160701135,Collinsville,5,6936177.86,6374536.52,561641.34,1979506,1417864.67,561641.33,168493.02,140410.87,28082.15
Lou A Boswell,120704945,Anna,5,1956761.01,1812175.99,144585.02,555321,410735.72,144585.28,43376.13,36146.8,7229.33
"Lou's Coffee and Wine Bar, Inc.",130700436,Crestwood,5,5925277.01,5449531.66,475745.35,1871307,1395561.65,475745.35,142724.13,118936.8,23787.33
"Lou's Tap, INC.",170700081,Roscoe,5,1153637.1,1066269.34,87367.76,422672,335304.14,87367.86,26210.62,21842.2,4368.42
"Lou's, Inc.",150701450,Springfield,3,1371745.86,1274152.01,97593.85,390560,292966.15,97593.85,29278.37,24398.62,4879.75
"Loudean's, Inc.",120704208,Hurst,5,1194386.42,1096104.04,98282.38,341501,243204.87,98296.13,29489.44,24574.56,4914.88
"Louie's Pad Bar & Grill, Inc.",160700001,Tazewell County,4,476379.92,436200.69,40179.23,161973,121793.97,40179.03,12053.92,10044.95,2008.97
"Love's Travel Stops & Country Stores, Inc.",161002736,South Jacksonville,5,4983735.02,4575354.45,408380.57,1376620,968190.39,408429.61,122529.54,102107.99,20421.55
"Love's Travel Stops & Country Stores, Inc.",161002737,Greenup,5,6676726.77,6131998.12,544728.65,1832965,1288236.4,544728.6,163419.24,136182.72,27236.52
"Love's Travel Stops & Country Stores, Inc.",141003302,New Baden,5,10072509.68,9283476.54,789033.14,2796631,2007597.86,789033.14,236710.36,197258.68,39451.68
"Love's Travel Stops & Country Stores, Inc.",121008412,Dwight,5,6487494.4,5972490.43,515003.97,1897277,1382272.91,515004.09,154501.69,128751.42,25750.27
"Love's Travel Stops & Country Stores, Inc.",121010101,North Utica,4,8409660.72,7763838.64,645822.08,2331368,1685556.61,645811.39,193743.99,161453.33,32290.66
"Love's Travel Stops & Country Stores, Inc.",131003997,Oglesby,5,8171110.17,7565086.5,606023.67,2228254,1622222.33,606031.67,181810.05,151508.41,30301.64
"Love's Travel Stops & Country Stores, Inc.",141003301,Hamel,5,8084195.77,7409200.97,674994.8,2347567,1672648.19,674918.81,202476.21,168730.21,33746
"Love's Travel Stops & Country Stores, Inc.",121010097,Williamsville,5,7521396.5,6921788.46,599608.04,2207532,1607924.01,599607.99,179883.01,149902.55,29980.46
"Love's Travel Stops & Country Stores, Inc.",121010098,Ina,5,9182119.94,8403749.96,778369.98,2354061,1575679.46,778381.54,233515.03,194595.9,38919.13
"Love's Travel Stops & Country Stores, Inc.",121010103,Greenville,5,9295998.64,8559235.02,736763.62,2379845,1643080.87,736764.13,221029.87,184191.58,36838.29
"Love's Travel Stops & Country Stores, Inc.",121010104,Kankakee,5,8200214.14,7551545.88,648668.26,2490083,1841414.69,648668.31,194601.09,162167.61,32433.48
"Love's Travel Stops & Country Stores, Inc.",121010100,Roscoe,5,8736985.87,8040724.01,696261.86,2473613,1776998.78,696614.22,208984.78,174154.02,34830.76
"Love's Travel Stops & Country Stores, Inc.",121010102,Leroy,4,6101023.34,5632227.03,468796.31,1733511,1264682.03,468828.97,140649.14,117207.64,23441.5
"Love's Travel Stops & Country Stores, Inc.",161002734,Knoxville,5,7048283.41,6464648.45,583634.96,2021494,1437746.19,583747.81,175125.06,145937.55,29187.51
"Loves Park Scuba, Inc.",130704849,Loves Park,4,929290.54,867149.31,62141.23,272911,210769.77,62141.23,18642.64,15535.56,3107.08
Loyal Order of Moose #1016 Corp.,120800431,Sandwich,5,1599171.59,1470722.46,128449.13,542006,413556.87,128449.13,38535.35,32112.81,6422.54
LOYAL ORDER OF MOOSE VANDALIA LODGE NO. 1447,120804630,Vandalia,5,1312766.75,1202036.65,110730.1,425034,314303.76,110730.24,33219.84,27683.21,5536.63
"LOYAL ORDER OF MOOSE, LODGE NO. 1216 CARLINVILLE, ILL.",120812061,Carlinville,5,1491905.21,1366962.11,124943.1,413833,288889.87,124943.13,37483.85,31236.55,6247.3
"LPB3, Inc.",120705361,Chicago Heights,5,5898472.38,5450002.29,448470.09,1849742,1401271.89,448470.11,134541.6,112118.02,22423.58
"LSB One, Inc.",120711243,Decatur,5,1128841.44,1027223.3,101618.14,444933,343289.85,101643.15,30493.35,25411.13,5082.22
LSMRDW LLC,150702814,Wataga,5,1537770.84,1428809.06,108961.78,498535,389573.22,108961.78,32688.95,27240.8,5448.15
"Lt. Robert C.A. Carlson Post #1207, The American Legion",130900655,Rockford,5,3629860.18,3351912.93,277947.25,933515,655568.04,277946.96,83384.53,69487.11,13897.42
Lu & Denny's Inc.,130706079,Tolono,4,2194397.47,2031847.77,162549.7,666407,503857.3,162549.7,48765.42,40637.85,8127.57
"Luby Brothers, LLC",140700317,Tinley Park,5,1612850.62,1479796.15,133054.47,507686,374631.53,133054.47,39916.64,33263.9,6652.74
LUCA PIZZA INC.,140701059,Springfield,5,1300075.28,1192307,107768.28,421815,314046.72,107768.28,32330.94,26942.47,5388.47
"Lucas-Peoria, Inc.",120712372,Peoria,3,1175897.26,1078088.62,97808.64,369476,271667.43,97808.57,29342.87,24452.39,4890.48
"Lucha Cantina, Inc.",130705264,Rockford,3,927517.23,854202.58,73314.65,301818,228502.91,73315.09,21995.04,18329.19,3665.85
"Luck Cafe, INC.",160701034,Elmwood Park,5,8240586.87,7598027.24,642559.63,2576798,1934243.49,642554.51,192766.95,160639.15,32127.8
"LUCK CAFE, INC.",170702861,North Riverside,5,187928.22,171607.91,16320.31,63848,47527.69,16320.31,4896.09,4080.08,816.01
"LUCKI CAFE, INC.",160700613,Addison,5,3592476.09,3265534.47,326941.62,1157616,830674.38,326941.62,98083.48,81736.27,16347.21
"Luckie Enterprises, Inc.",120702956,Tazewell County,5,4507828.26,4156285.49,351542.77,1464687,1113144.38,351542.62,105463.32,87886.15,17577.17
LUCKY 7'S CAFE LLC,160702122,Summit,5,5782345.89,5275533.29,506812.6,1680374,1173549.4,506824.6,152047.98,126706.7,25341.28
"LUCKY 7'S GAMING CAFE, LLC",170700121,Hebron,5,3609794.38,3293576.71,316217.67,1253210,936991.98,316218.02,94866.05,79055.06,15810.99
"LUCKY 8, INC.",120706652,Petersburg,3,592667.98,545319.56,47348.42,184740,137391.7,47348.3,14204.51,11837.12,2367.39
"Lucky Bird, Inc.",160703969,Mokena,4,1003273.81,914019.82,89253.99,375817,286563.01,89253.99,26777.01,22314.17,4462.84
"Lucky Bugg, Inc.",170702079,Braceville,5,1019155.76,939609.29,79546.47,313426,233879.53,79546.47,23864.36,19886.97,3977.39
"Lucky Dawg, LLC",170701528,Poplar Grove,5,1384874.23,1249279.52,135594.71,508679,373076.14,135602.86,40681.42,33901.21,6780.21
"LUCKY DAY GAMING CAFE II, INC.",180700346,North Riverside,5,2148886.49,1982321.93,166564.56,709762,543197.44,166564.56,49969.58,41641.32,8328.26
LUCKY DAY GAMING CAFE INC.,170701066,Melrose Park,5,4231092.38,3866042.62,365049.76,1455938,1090888.24,365049.76,109515.27,91262.75,18252.52
LUCKY DOG GAMING LLC,130700117,Cherry Valley,5,5409581.77,5032465.68,377116.09,1624144,1247028.01,377115.99,113135.43,94279.55,18855.88
"LUCKY DOG III, INCORPORATED",150702129,Berwyn,5,5547861.24,5029484.02,518377.22,1795075,1276697.77,518377.23,155513.66,129594.74,25918.92
"LUCKY DOG IV, INC.",160702495,Broadview,5,2022535.8,1840061.11,182474.69,684785,502310.31,182474.69,54743.29,45619.43,9123.86
"Lucky Dog's Pub & Eatery, Inc.",140702484,Chillicothe,5,2875887.62,2646476.62,229411,955423,726011.73,229411.27,68823.91,57353.27,11470.64
"Lucky Duckys, LLC",170703395,Milan,5,1685461.13,1518912.66,166548.47,512743,346194.32,166548.68,49964.95,41637.46,8327.49
"Lucky Emma's, LLC",150700564,Round Lake,5,10360096.59,9576521.43,783575.16,2828305,2044729.84,783575.16,235073.1,195894.27,39178.83
LUCKY JACK - PARK CITY INC.,170700189,Park City,5,5842547.16,5338219.42,504327.74,2060199,1555871.26,504327.74,151298.94,126082.47,25216.47
"LUCKY JACK'S - ZION, INC.",160700258,Zion,5,9635014.98,8752133.31,882881.67,3145834,2262952.33,882881.67,264865.06,220720.91,44144.15
"LUCKY JACK'S, INC.",150700378,Waukegan,5,11132927.35,10149391.67,983535.68,3840771,2857235.32,983535.68,295061.52,245884.57,49176.95
Lucky Jack's-NC Inc.,160701137,North Chicago,5,4712882.25,4311864.9,401017.35,1749973,1348950.65,401022.35,120307.2,100256.04,20051.16
"Lucky Joe's Corner Bar and Grill, LLC",130701774,Freeburg,3,1877007.56,1709195.89,167811.67,592414,424602.33,167811.67,50343.75,41953.13,8390.62
LUCKY JOHN'S LLC,160702707,Summit,5,680959.1,618803.85,62155.25,215571,153415.75,62155.25,18646.8,15539,3107.8
"Lucky Luke's, L.L.C.",120710143,Rock Island,5,5934361.61,5458328.14,476033.47,1701128,1225084.48,476043.52,142813.82,119011.55,23802.27
"LUCKY ME, LLC",160702474,Decatur,5,5256755.75,4766264.08,490491.67,1757129,1266636.92,490492.08,147148.25,122623.55,24524.7
"Lucky Parrot, Inc.",140703286,Carbon Hill,3,747333.46,683830.18,63503.28,230320,166816.64,63503.36,19051.23,15876.02,3175.21
"Lucky Rooster, LLC",140704424,St. Jacob,5,946633.26,881101.34,65531.92,271607,206075.08,65531.92,19659.86,16383.23,3276.63
"LUCKY ROSE, INC.",160701571,Swansea,5,3068768.48,2827179.12,241589.36,999962,758372.64,241589.36,72476.91,60397.43,12079.48
Lucky Slots Cafe Inc.,150703883,Carlyle,5,5898777.35,5470662.96,428114.39,1649373,1221258.61,428114.39,128435.05,107029.21,21405.84
"Lucky Spin, Inc.",160700794,Ashmore,5,1906541.32,1765329.39,141211.93,589874,448662.07,141211.93,42363.83,35303.22,7060.61
"LUCKY'S BEEF N DOGS, LLC",170700064,Montgomery,5,974567.12,891440.85,83126.27,335704,252577.73,83126.27,24938.14,20781.79,4156.35
"Lucky's Drive-In, Inc.",120702295,Oak Forest,5,2566896.33,2339181.35,227714.98,835433,607718.02,227714.98,68315.18,56929.33,11385.85
Lucky's Gaming LLC,140701627,Benld,5,84408.78,77762.82,6645.96,22442,15796.04,6645.96,1993.85,1661.54,332.31
LUCKY'S LLC,140703205,Berwyn,5,3192977.63,2922806.71,270170.92,1032515,762342.9,270172.1,81052.49,67543.75,13508.74
"Lucy Mont, Inc.",160703441,Bradley,5,671137.9,621058.47,50079.43,222744,172664.22,50079.78,15024.44,12520.37,2504.07
"Lucy's Bistro, LLC",150700471,East Dundee,5,3791426.53,3473614.75,317811.78,1268640,950828.22,317811.78,95344.03,79453.4,15890.63
"Lucy's Place, LLC",140700033,Jerome,5,6218405.67,5724677.17,493728.5,2155561,1661832.5,493728.5,148119,123432.54,24686.46
"Lucy's Place, LLC",130700816,Alton,5,9274450.87,8462879.51,811571.36,2705671,1894099.64,811571.36,243472.24,202893.56,40578.68
"Lucy's Place, LLC",120712021,Jacksonville,5,7543587.81,6903296.56,640291.25,2313472,1673180.75,640291.25,192087.71,160073.1,32014.61
"Lucy's Place, LLC",120706635,Fairview Heights,5,7580191.87,6946445.63,633746.24,2306995,1673248.76,633746.24,190124.45,158437.07,31687.38
"Lucy's Place, LLC",120706578,Mount Carmel,5,7963052.81,7311115.77,651937.04,2184787,1532849.92,651937.08,195581.91,162984.94,32596.97
"Lucy's Place, LLC",120708214,Litchfield,5,6566616.92,6006756.02,559860.9,1795541,1235680.1,559860.9,167958.94,139965.83,27993.11
"Lucy's Place, LLC",120706577,Marion,5,4976838.44,4541260.12,435578.32,1527415,1091836.68,435578.32,130674.11,108895.11,21779
"Lucy's Place, LLC",170704038,Mattoon,5,1626551.42,1468710.32,157841.1,564158,406316.9,157841.1,47352.61,39460.51,7892.1
"Lucy's Place, LLC",160703551,Mattoon,5,6329222.4,5816939.46,512282.94,2085765,1573482.06,512282.94,153685.3,128071.08,25614.22
"Lucy's Place, LLC",130700286,Springfield,5,5017017.08,4570202.52,446814.56,1660440,1213625.09,446814.91,134044.99,111704.21,22340.78
"Lucy's Place, LLC",130700814,Springfield,5,7374379.7,6727411.06,646968.64,2422611,1775642.36,646968.64,194091.17,161742.68,32348.49
"Lucy's Place, LLC",130700815,Springfield,5,9140489.44,8352886.21,787603.23,2855400,2067796.77,787603.23,236281.56,196901.34,39380.22
"Lucy's Place, LLC",150700889,Grandview,5,4546535.79,4141804.83,404730.96,1493530,1088798.84,404731.16,121419.92,101183.3,20236.62
"Lucy's Place, LLC",150702415,Elmwood Park,5,7409031.88,6828826.33,580205.55,2071734,1491479.18,580254.82,174077.01,145064.19,29012.82
"Lucy's Place, LLC",120701978,Marion,5,5084124.73,4684670.48,399454.25,1609522,1210067.75,399454.25,119836.95,99864.12,19972.83
"Lucy's Place, LLC",120708302,Wood River,5,9175133.79,8425810.17,749323.62,2517518,1768194.38,749323.62,224797.71,187331.44,37466.27
"Lucy's Place, LLC",120706582,Harrisburg,5,2443205.18,2245997.27,197207.91,684624,487416.09,197207.91,59162.9,49302.45,9860.45
"Lucy's Place, LLC",120711841,Chester,5,9411089.61,8621665.09,789424.52,2597351,1807926.48,789424.52,236827.88,197356.62,39471.26
"Lucy's Place, LLC",120706634,Centralia,5,12356247.09,11434976.31,921270.78,3229507,2308236.22,921270.78,276381.9,230318.26,46063.64
"Lucy's Place, LLC",120708226,Fairview Heights,5,8933327.46,8212849.25,720478.21,2589036,1868557.79,720478.21,216144.12,180120.11,36024.01
"Lucy's Place, LLC",120710811,Salem,5,7418964.77,6832645.34,586319.43,2131373,1545053.57,586319.43,175896.48,146580.43,29316.05
"Lucy's Place, LLC",120711745,Springfield,5,7480577.99,6869732.05,610845.94,2207307,1596460.86,610846.14,183254.34,152711.95,30542.39
"Lucy's Place, LLC",120710166,Springfield,5,7382048.54,6709414.48,672634.06,2385412,1712777.94,672634.06,201791.17,168159.33,33631.84
"Lucy's Place, LLC",120710238,Springfield,5,6747956.7,6176564.27,571392.43,2156289,1584896.57,571392.43,171418.65,142848.88,28569.77
"LUD'S INVESTMENTS, INC.",120700473,Salem,5,1377936.09,1274273.14,103662.95,395766,292103.05,103662.95,31099.43,25916.2,5183.23
"Ludy's Kickapoo Creek Saloon, Inc.",120706063,Peoria County,4,1260591.55,1162502.16,98089.39,443342,345252.61,98089.39,29427.36,24522.82,4904.54
"Luigi's Paisans Pizza, Inc.",130702452,Berwyn,5,2053124.66,1889466.87,163657.79,717616,553959.41,163656.59,49097.59,40914.65,8182.94
"Lukenbachs, Inc.",120708501,Altamont,4,80340.26,74635.78,5704.48,26019,20314.61,5704.39,1711.4,1426.16,285.24
LULU BELLE'S PANCAKE HOUSE II LLC,170703218,Franklin Park,5,88733.08,78958.91,9774.17,32868,23093.83,9774.17,2932.36,2443.63,488.73
LUMIERE HOSPITALITY GROUP LLC,170703141,Hoffman Estates,5,486035.23,446755.33,39279.9,172065,132784.95,39280.05,11784.28,9820.24,1964.04
LUNA ALVARADO INC.,150700579,Dixon,4,1352113.84,1237353.94,114759.9,502828,388068.21,114759.79,34428.47,28690.4,5738.07
"LUNA NUEVA, INC.",150703362,Decatur,5,6636275.36,6017718.1,618557.26,2139469,1520911.74,618557.26,185567.91,154639.95,30927.96
Lunar Excursions LLC,170701754,Bridgeview,5,5204600.9,4774221.69,430379.21,1761930,1331550.79,430379.21,129114.11,107595.08,21519.03
Lunchbox Cafe Inc.,140703556,La Salle,4,321716.67,292011.48,29705.19,106561,76855.81,29705.19,8911.76,7426.47,1485.29
Luther B. Easley Post No. 128 American Legion,160903132,Salem,4,1428578.21,1322743.36,105834.85,425795,319960.15,105834.85,31750.91,26459.11,5291.8
Lynn M. Cartwright,160702494,Lansing,5,1829038.93,1681960.86,147078.07,585812,438733.93,147078.07,44124.15,36770.16,7353.99
Lynn Stoner,170702932,Anna,5,601953.32,549596.44,52356.88,178299,125942.06,52356.94,15707.37,13089.47,2617.9
LYNN-MART CORP.,170702211,Carpentersville,5,347609.11,316830.76,30778.35,120132,89316.69,30815.31,9244.59,7703.83,1540.76
"LYNNCORYAN MANAGEMENT, INC.",160701482,Crystal Lake,3,2644126.77,2422442.61,221684.16,877752,656067.89,221684.11,66505.54,55421.31,11084.23
Lynwood Bowl LLC,120700392,Lynwood,5,4656176.63,4258205.19,397971.44,1408030,1010058.56,397971.44,119391.99,99493.35,19898.64
"LYNWOOD TAP, LLC",120703367,Lynwood,5,9761328.42,9023642.14,737686.28,2806064,2068377.39,737686.61,221306.25,184421.9,36884.35
"Lynwood Wine & Spirits Inc.,",180700065,Lynwood,5,96601.13,87760.64,8840.49,38876,30035.51,8840.49,2652.25,2210.22,442.03
"Lyon Tree, Inc.",130706018,Cary,5,4889885.64,4496711.74,393173.9,1546545,1153371.1,393173.9,117952.79,98293.99,19658.8
LZG ENTERPRISES INC.,150702426,Swansea,4,2349161.4,2155835.14,193326.26,707378,514050.82,193327.18,57998.65,48332.21,9666.44
LZMZ PROPERTIES INC.,150701346,Quincy,3,1835320.61,1681793.57,153527.04,584657,431129.96,153527.04,46058.45,38382.08,7676.37
M & F Binding Co.,120700688,Polo,4,630849.03,584049.23,46799.8,202323,155523.1,46799.9,14040.25,11700.21,2340.04
"M & G'S BROADWAY TAP, INC.",130704783,Hamilton,4,3120929.94,2882181.89,238748.05,1145991,907242.95,238748.05,71625.01,59687.53,11937.48
M & L GAMING OF MIDLOTHIAN INC.,160704014,Midlothian,5,86320.14,78742.61,7577.53,31662,24084.47,7577.53,2273.3,1894.42,378.88
"M & M Brothers of Lake County, Inc.",120710294,Fox Lake,3,1012628.17,925217.87,87410.3,302858,215447.7,87410.3,26223.57,21852.99,4370.58
M & M Service Company,121006065,Litchfield,5,8599798.44,7913315.74,686482.7,2468504,1782033.87,686470.13,205941.65,171618.07,34323.58
M & V Ventures I Inc.,170700417,Galesburg,3,236677.06,214532.88,22144.18,70578,48433.22,22144.78,6643.74,5536.46,1107.28
"M C Tap, Inc.",140702770,Monroe Center,5,1672540.63,1549533.6,123007.03,480386,357378.72,123007.28,36903.08,30752.58,6150.5
M&M Pollo inc.,170701249,Prospect Heights,5,2601337.79,2413604.13,187733.66,865391,677657.16,187733.84,56320.55,46933.8,9386.75
"M&M Restaurant of Alsip, Inc.",130702602,Alsip,1,644323.79,604259.03,40064.76,178464,138399.24,40064.76,12019.36,10016.13,2003.23
"M. G. CONCESSIONS, INC.",130704649,Villa Park,5,476452.74,424347.24,52105.5,147657,95551.75,52105.25,15631.96,13026.66,2605.3
"M.A.D. PUB, LLC",180700205,Belleville,5,1114962.06,1019864.92,95097.14,372607,277508.81,95098.19,28529.62,23774.7,4754.92
"M.D. Lauer, Inc.",120707430,Calumet City,5,4399538.81,4017103.84,382434.97,1356580,974144.9,382435.1,114731.27,95609.38,19121.89
"M.D.J., INC.",150703730,Joliet,5,1340932.68,1233233.78,107698.9,503665,395967.04,107697.96,32309.73,26924.79,5384.94
M.K.P. CORPORATION,140704034,Villa Park,4,1679963.45,1557792.94,122170.51,445618,323447.49,122170.51,36651.6,30543.04,6108.56
M.L.C. Enterprises LLC,160701728,O'Fallon,5,1939254.61,1771320.73,167933.88,623426,455492.17,167933.83,50380.8,41984.04,8396.76
"M.P. of Illinois, Inc.",120702308,Loves Park,5,4357798.06,3963377.39,394420.67,1392495,998073.82,394421.18,118326.92,98605.8,19721.12
M.R. Tuthill Incorporated,120704051,East Galesburg,3,578295.02,532807.18,45487.84,194165,148677.16,45487.84,13646.64,11372.2,2274.44
M.R.H. Corporation,170704267,Bunker Hill,5,1117264.24,1041342.91,75921.33,343629,267707.67,75921.33,22776.55,18980.48,3796.07
"M.R.T.P., Inc.",120711170,South Chicago Heights,4,1474015.48,1350349.04,123666.44,445672,322000.16,123671.84,37102.05,30918.39,6183.66
"MA-BO, Inc.",120705429,Kankakee,5,1155802.47,1065690.52,90111.95,417235,327123.3,90111.7,27034.06,22528.4,4505.66
Mac Dynasty Inc.,170701731,Waukegan,5,2393464.4,2210824.36,182640.04,796642,614001.96,182640.04,54792.42,45660.36,9132.06
"MAC ENTERPRISES UPTOWNER/CELLAR, INC.",120706379,Charleston,4,1226182.06,1130144.11,96037.95,416395,320357.05,96037.95,28811.56,24009.61,4801.95
Mac's  Convenience Stores LLC,150701429,Herrin,5,4580959.93,4174999.9,405960.03,1375661,969701.13,405959.87,121788.59,101490.51,20298.08
Mac's Convenience Stores LLC,150701430,Nashville,5,4237328.55,3853941.79,383386.76,1297654,914266.1,383387.9,115016.9,95847.41,19169.49
Mac's Convenience Stores LLC,150701428,Dallas City,5,2077733.4,1891538.41,186194.99,514903,328708.16,186194.84,55859.14,46549.29,9309.85
Mac's Convenience Stores LLC,150700657,Coulterville,5,3381757.11,3073251.11,308506,966575,658068.7,308506.3,92552.46,77127.05,15425.41
Mac's Convenience Stores LLC,141003785,Monticello,5,5819970.69,5348151.83,471818.86,1690388,1219586.61,470801.39,141240.92,117700.78,23540.14
Mac's Convenience Stores LLC,151001573,Clifton,5,3215653.64,2938063.91,277589.73,922742,645167.26,277574.74,83273.61,69394.77,13878.84
Mac's Convenience Stores LLC,151001573,Iroquois County,0,-828683.78,-781598.5,-47085.28,-217937,-170851.6,-47085.4,-14125.78,-11771.53,-2354.25
Mac's Convenience Stores LLC,170704039,Madison,5,1767445.1,1599544.79,167900.31,579517,411616.69,167900.31,50370.39,41975.33,8395.06
Mac's Convenience Stores LLC,170704043,Aledo,5,120976.13,111245.43,9730.7,41961,32230.3,9730.7,2919.41,2432.85,486.56
Mac's Convenience Stores LLC,151000673,Mahomet,5,5309145.69,4875800.9,433344.79,1617943,1184581.84,433361.16,130008.74,108340.63,21668.11
Mac's Convenience Stores LLC,150701426,South Jacksonville,5,3280382.33,3007041.36,273340.97,950528,677187.03,273340.97,82003.01,68335.88,13667.13
Mac's Convenience Stores LLC,150700654,Christopher,5,3703901.91,3387921.76,315980.15,1063508,747520.29,315987.71,94796.93,78997.45,15799.48
Mac's Convenience Stores LLC,141003721,Rantoul,5,13151170.93,12103913.65,1047257.28,4026215,2978933.22,1047281.78,314185.2,261821.01,52364.19
Mac's Convenience Stores LLC,131004892,Dwight,5,2863000,2621155.15,241844.85,780709,538864.15,241844.85,72554.03,60461.71,12092.32
Mac's Convenience Stores LLC,150700638,East Alton,5,4214392.24,3852465.09,361927.15,1285380,923452.85,361927.15,108578.78,90482.34,18096.44
Mac's Convenience Stores LLC,150700655,Okawville,5,1806713.76,1657243.18,149470.58,561759,412287.91,149471.09,44841.9,37368.28,7473.62
Mac's Convenience Stores LLC,141003777,Rochelle,5,8485069.51,7789806.37,695263.14,2356659,1661395.86,695263.14,208579.6,173816.37,34763.23
Mac's Convenience Stores LLC,161000288,Macomb,5,6791920.81,6254019.89,537900.92,1949638,1411736.78,537901.22,161370.75,134475.63,26895.12
Mac's Convenience Stores LLC,151000691,Champaign,5,10532765.06,9697151.74,835613.32,3601019,2765610.01,835408.99,250623.49,208852.92,41770.57
Mac's Convenience Stores LLC,150701580,East Alton,5,3545421.81,3245059.77,300362.04,1016901,716539.2,300361.8,90108.87,75090.74,15018.13
Mac's Convenience Stores LLC,160700791,Bridgeview,5,4943073.56,4468913.21,474160.35,1632422,1158152.91,474269.09,142281.38,118567.84,23713.54
Mac's Convenience Stores LLC,160700513,Bridgeview,5,5929863.84,5459457.91,470405.93,1807413,1337007.07,470405.93,141122.46,117602.08,23520.38
Mac's Convenience Stores LLC,161003107,Shiloh,5,7453351.93,6817064.77,636287.16,2152336,1516046.35,636289.65,190887.6,159073.02,31814.58
Mac's Convenience Stores LLC,170703394,Aroma Park,5,1629665.96,1501433.5,128232.46,596265,468032.28,128232.72,38470.1,32058.41,6411.69
Mac's Convenience Stores LLC,170703415,Havana,5,1853393.1,1688173.53,165219.57,549018,383798.43,165219.57,49566.12,41305.12,8261
Mac's Convenience Stores LLC,141003757,Divernon,5,8494617.59,7838766.28,655851.31,2264027,1608175.69,655851.31,196755.93,163963.28,32792.65
Mac's Convenience Stores LLC,141003788,Champaign,3,5592660.42,5133935.28,458725.14,1625235,1166509.86,458725.14,137617.94,114681.64,22936.3
Mac's Convenience Stores LLC,150701424,Staunton,5,2630133.97,2391409.41,238724.56,733619,493938.88,239680.12,71904.44,59920.4,11984.04
Mac's Convenience Stores LLC,150700684,Fairbury,4,3924853.73,3653181.56,271672.17,1069843,798170.66,271672.34,81502.27,67918.58,13583.69
Mac's Convenience Stores LLC,170704041,Mount Vernon,5,324375.57,300620.08,23755.49,100041,76285.51,23755.49,7126.77,5938.98,1187.79
"MACADOO, INC.",120700727,Crest Hill,5,1041774.7,966935.99,74838.71,337281,262442.75,74838.25,22451.87,18709.91,3741.96
"MACCHAPPYS, LLC",120704366,Grayville,5,3164232.98,2924969.6,239263.38,807181,567917.43,239263.57,71779.43,59816.19,11963.24
Machelle C. Senica,120708021,La Salle,5,211243.21,189969.55,21273.66,72631,51357.34,21273.66,6382.19,5318.49,1063.7
"Macho's Tacos, Inc.",140703029,Justice,5,1223024.9,1130505.14,92519.76,391767,299247.24,92519.76,27756.7,23130.61,4626.09
"Mack's Lake of Egypt Marina, LLC",120712024,Williamson County,3,216143.04,202929.16,13213.88,79518,66303.97,13214.03,3964.42,3303.71,660.71
"MACKEY, INC.",130702677,McHenry County,5,4478289.48,4089006.5,389282.98,1509601,1120318.02,389282.98,116785.46,97321.24,19464.22
Macktown Lounge Inc.,120700585,Winnebago County,5,3976890,3670071.26,306818.74,1310161,1003342.21,306818.79,92046.34,76705.32,15341.02
"Macmere, LLC",170701908,Godfrey,5,395004.33,374550,20454.33,127755,107300.6,20454.4,6136.81,5114.03,1022.78
